HAUL,CRUISE,STUDYAREA,GEARTYPE,DEMSTN,STATSQ,DAY,MONTH,YEAR,HOUR,MIN,DURATION,DEPTH,SLATDEG,SLATMIN,SLONGDEG,SLONGMIN,HLATDEG,HLATMIN,HLONGDEG,HLONGMIN,AREASWPT,VOLSWPT,HOURDEC,DURDEC,SLATDEC,SLONGDEC,HLATDEC,HLONGDEC,MLATDEC,MLONGDEC
C03/139,JUN03,FORTH,Demersal,D,,10,6,2003,13,50,,46.5,56,21.25,2,23.63,56,22,2,21.68,30234.23,135722.3,13.83,0.52,56.35,-2.39,56.37,-2.36,56.36,-2.38
C03/140,JUN03,FORTH,Demersal,A,,11,6,2003,5,30,32,29.5,56,27.58,2,30.94,56,27.55,2,28.54,30717.82,143660.43,5.5,0.53,56.46,-2.52,56.46,-2.48,56.46,-2.5
C03/141,JUN03,FORTH,Demersal,B,,11,6,2003,7,40,,49.67,56,27.44,2,9.64,56,27.75,2,7.48,31238.89,147368.54,7.67,0.51,56.46,-2.16,56.46,-2.12,56.46,-2.14
C03/142,JUN03,FORTH,Pelagic,,,14,6,2003,10,15,25,40,56,27.46,2,5.63,56,27.43,2,4.16,0,0,10.25,0.42,56.46,-2.09,56.46,-2.07,56.46,-2.08
C03/143,JUN03,FORTH,Pelagic,,,14,6,2003,12,25,15,40,56,27.27,2,21.96,56,27.28,2,20.78,0,0,12.42,0.25,56.45,-2.37,56.45,-2.35,56.45,-2.36
C03/144,JUN03,FORTH,Pelagic,,,15,6,2003,8,45,30,45,56,22.57,1,34.63,56,22.5,1,36.3,0,0,8.75,0.5,56.38,-1.58,56.38,-1.6,56.38,-1.59
C03/145,JUN03,FORTH,Pelagic,,,15,6,2003,13,10,25,50,56,17.43,2,1.19,56,17.5,1,59.69,0,0,13.17,0.42,56.29,-2.02,56.29,-1.99,56.29,-2.01
C03/146,JUN03,FORTH,Pelagic,,,16,6,2003,9,10,35,50,56,12.55,1,22.94,56,12.49,1,25.24,0,0,9.17,0.58,56.21,-1.38,56.21,-1.42,56.21,-1.4
C03/147,JUN03,FORTH,Pelagic,,,17,6,2003,8,50,20,85,56,2.39,1,32.32,56,2.66,1,22.81,0,0,8.83,0.33,56.04,-1.54,56.04,-1.38,56.04,-1.46
C03/148,JUN03,FORTH,Pelagic,,,17,6,2003,12,35,25,60,56,7.46,1,29.13,56,7.47,1,27.5,0,0,12.58,0.42,56.12,-1.49,56.12,-1.46,56.12,-1.47
C97/014,JUN97,MORAY,Pelagic,,44E7,18,6,1997,5,55,40,90,57,51.9,2,55.3,57,49.95,2,55.26,,,5.92,0.67,57.86,-2.92,57.83,-2.92,57.85,-2.92
C97/015,JUN97,MORAY,Pelagic,,45E6,18,6,1997,10,30,30,67,58,11.6,3,5.1,58,12.56,3,5.14,,,10.5,0.5,58.19,-3.08,58.21,-3.09,58.2,-3.09
C97/016,JUN97,MORAY,Pelagic,,44E6,19,6,1997,5,40,35,70,57,49.36,3,14.94,57,48.04,3,15.02,,,5.67,0.58,57.82,-3.25,57.8,-3.25,57.81,-3.25
C97/017,JUN97,MORAY,Pelagic,,45E6,19,6,1997,8,40,50,60,58,6.43,3,15.1,58,3.93,3,15.12,,,8.67,0.83,58.11,-3.25,58.07,-3.25,58.09,-3.25
C97/018,JUN97,MORAY,Pelagic,,45E6,19,6,1997,11,50,40,40,58,11.8,3,25.05,58,12.96,3,24.96,,,11.83,0.67,58.2,-3.42,58.22,-3.42,58.21,-3.42
C97/019,JUN97,FORTH,Pelagic,,41E7,21,6,1997,10,15,30,56,56,8,2,18,56,8.78,2,15.66,,,10.25,0.5,56.13,-2.3,56.15,-2.26,56.14,-2.28
C97/020,JUN97,FORTH,Pelagic,,41E7,21,6,1997,13,20,40,46,56,7.64,2,48.5,56,7.69,2,46.16,,,13.33,0.67,56.13,-2.81,56.13,-2.77,56.13,-2.79
C97/021,JUN97,FORTH,Pelagic,,41E8,22,6,1997,10,5,25,70,56,2.94,1,27.73,56,3.04,1,29.51,,,10.08,0.42,56.05,-1.46,56.05,-1.49,56.05,-1.48
C97/022,JUN97,FORTH,Pelagic,,41E7,23,6,1997,6,20,25,45,56,12.17,2,31.66,56,12.34,2,33.58,,,6.33,0.42,56.2,-2.53,56.21,-2.56,56.2,-2.54
C97/023,JUN97,FORTH,Pelagic,,41E7,23,6,1997,14,5,40,54,56,17.61,2,10.3,56,17.37,2,8.32,,,14.08,0.67,56.29,-2.17,56.29,-2.14,56.29,-2.16
C97/024,JUN97,FORTH,Pelagic,,41E7,24,6,1997,6,17,26,42,56,22.18,2,23.99,56,22.03,2,26.02,,,6.28,0.43,56.37,-2.4,56.37,-2.43,56.37,-2.42
C97/025,JUN97,FORTH,Pelagic,,41E7,24,6,1997,8,22,26,53,56,22.74,2,8.77,56,22.83,2,10.48,,,8.37,0.43,56.38,-2.15,56.38,-2.17,56.38,-2.16
C97/026,JUN97,FORTH,Pelagic,,41E8,24,6,1997,13,27,29,50,56,12.57,1,23.18,56,12.53,1,24.97,,,13.45,0.48,56.21,-1.39,56.21,-1.42,56.21,-1.4
C97/027,JUN97,FORTH,Pelagic,,41E7,25,6,1997,8,40,30,56,56,28.28,2,3.85,56,28.63,2,1.11,,,8.67,0.5,56.47,-2.06,56.48,-2.02,56.47,-2.04
C97/028,JUN97,FORTH,Demersal,L,41E7,27,6,1997,11,10,30,50,56,7.52,2,49.84,56,7.92,2,46.28,40717.91,107243.64,11.17,0.5,56.13,-2.83,56.13,-2.77,56.13,-2.8
C97/029,JUN97,FORTH,Demersal,M,41E7,29,6,1997,8,45,30,45,56,7.72,2,32.73,56,7.32,2,29.88,33504.9,84476.15,8.75,0.5,56.13,-2.55,56.12,-2.5,56.13,-2.52
C97/030,JUN97,FORTH,Demersal,Q,41E7,29,6,1997,10,25,30,55,56,2.47,2,22,56,2.55,2,18.7,37111.23,91666.01,10.42,0.5,56.04,-2.37,56.04,-2.31,56.04,-2.34
C97/031,JUN97,FORTH,Demersal,R,41E7,29,6,1997,12,55,30,63,56,2.36,2,2.66,56,2.6,1,59.5,35840.1,84621.31,12.92,0.5,56.04,-2.04,56.04,-1.99,56.04,-2.02
C97/032,JUN97,FORTH,Demersal,S,41E8,29,6,1997,15,30,30,60,56,2.35,1,41.93,56,2.48,1,38.86,31801.93,72853.53,15.5,0.5,56.04,-1.7,56.04,-1.65,56.04,-1.67
C97/033,JUN97,FORTH,Demersal,T,41E8,30,6,1997,4,40,30,52,56,1.75,1,20.35,56,2.47,1,23.68,38161.3,81104.78,4.67,0.5,56.03,-1.34,56.04,-1.39,56.04,-1.37
C97/034,JUN97,FORTH,Demersal,P,41E8,30,6,1997,6,45,30,62,56,7.07,1,31.8,56,7.37,1,29.01,32333.19,70895.18,6.75,0.5,56.12,-1.53,56.12,-1.48,56.12,-1.51
C97/035,JUN97,FORTH,Demersal,G,41E8,30,6,1997,9,20,30,50,56,16.16,1,32.48,56,17.28,1,31,26591.04,69704.95,9.33,0.5,56.27,-1.54,56.29,-1.52,56.28,-1.53
C97/036,JUN97,FORTH,Demersal,K,41E8,30,6,1997,11,20,30,51,56,11.94,1,40.62,56,12.92,1,38.84,24385.39,63884.53,11.33,0.5,56.2,-1.68,56.22,-1.65,56.21,-1.66
C97/037,JUN97,FORTH,Demersal,O,41E8,30,6,1997,13,52,30,50,56,8.44,1,50.75,56,6.8,1,51.87,32441.94,75392.8,13.87,0.5,56.14,-1.85,56.11,-1.86,56.13,-1.86
C97/038,JUN97,FORTH,Demersal,I,41E7,1,7,1997,14,15,30,55,56,11.89,2,20.39,56,13.67,2,19.72,35236.84,92021.38,14.25,0.5,56.2,-2.34,56.23,-2.33,56.21,-2.33
C97/039,JUN97,FORTH,Demersal,N,41E7,1,7,1997,16,25,30,60,56,7.01,2,11.02,56,8.55,2,8.76,38844.38,86107.38,16.42,0.5,56.12,-2.18,56.14,-2.15,56.13,-2.16
C97/040,JUN97,FORTH,Demersal,H,41E7,2,7,1997,6,10,30,52,56,17.61,2,9.24,56,17.35,2,12.43,32900.42,70602.11,6.17,0.5,56.29,-2.15,56.29,-2.21,56.29,-2.18
C97/041,JUN97,FORTH,Demersal,J,41E8,2,7,1997,8,35,30,40,56,12.42,1,56.98,56,12.38,2,0.61,37567.36,92049.83,8.58,0.5,56.21,-1.95,56.21,-2.01,56.21,-1.98
C97/042,JUN97,FORTH,Demersal,F,41E8,2,7,1997,10,45,30,58,56,17.72,1,47.25,56,17.75,1,50.69,36276.05,78523.28,10.75,0.5,56.3,-1.79,56.3,-1.84,56.3,-1.82
C97/043,JUN97,FORTH,Demersal,E,41E8,2,7,1997,14,45,30,50,56,22.47,2,0.87,56,22.58,1,57.55,32683.3,71859.5,14.75,0.5,56.37,-2.01,56.38,-1.96,56.38,-1.99
C97/045,JUN97,FORTH,Demersal,D,41E7,3,7,1997,4,45,25,44,56,21.16,2,23.77,56,22.13,2,21.15,33717.5,73502.51,4.75,0.42,56.35,-2.4,56.37,-2.35,56.36,-2.37
C97/046,JUN97,FORTH,Demersal,A,41E7,3,7,1997,6,32,30,30,56,25.57,2,31.29,56,27.57,2,27.91,33689.83,77792.78,6.53,0.5,56.43,-2.52,56.46,-2.47,56.44,-2.49
C97/047,JUN97,FORTH,Demersal,B,41E7,3,7,1997,8,45,30,50,56,27.8,2,6.94,56,27.47,2,10.47,35090.28,74831.23,8.75,0.5,56.46,-2.12,56.46,-2.17,56.46,-2.15
C97/048,JUN97,FORTH,Demersal,C,41E8,3,7,1997,11,20,30,51,56,27.41,1,46.88,56,27.49,1,50.42,34018.78,77550.67,11.33,0.5,56.46,-1.78,56.46,-1.84,56.46,-1.81
C97/049,JUN97,MORAY,Demersal,AD,45E7,4,7,1997,10,4,30,58,58,5.54,2,44.86,58,3.45,2,45.25,40886.02,91616.28,10.07,0.5,58.09,-2.75,58.06,-2.75,58.07,-2.75
C97/050,JUN97,MORAY,Demersal,AB,45E7,4,7,1997,12,15,30,40,58,10.25,2,56.43,58,9.26,2,53.13,36182.6,77779.08,12.25,0.5,58.17,-2.94,58.15,-2.89,58.16,-2.91
C97/051,JUN97,MORAY,Demersal,AC,45E6,4,7,1997,15,45,30,58,58,3.88,3,15.53,58,6.23,3,14.27,39458.33,84420.36,15.75,0.5,58.06,-3.26,58.1,-3.24,58.08,-3.25
C97/052,JUN97,MORAY,Demersal,AA,45E6,5,7,1997,4,45,30,38,58,11.63,3,25.13,58,9.85,3,25,29578.02,72211.39,4.75,0.5,58.19,-3.42,58.16,-3.42,58.18,-3.42
C97/053,JUN97,MORAY,Demersal,AE,44E6,5,7,1997,7,0,30,40,57,58.9,3,35.6,58,1.04,3,34.53,35617.25,83070.56,7,0.5,57.98,-3.59,58.02,-3.58,58,-3.58
C97/054,JUN97,MORAY,Demersal,AG,44E6,5,7,1997,9,15,30,34,57,55.02,3,44.96,57,56.61,3,46.65,32388.36,75244.43,9.25,0.5,57.92,-3.75,57.94,-3.78,57.93,-3.76
C97/055,JUN97,MORAY,Demersal,AH,44E6,5,7,1997,11,20,30,55,57,56.22,3,26.59,57,54.57,3,24.49,39756.03,85631.95,11.33,0.5,57.94,-3.44,57.91,-3.41,57.92,-3.43
C97/056,JUN97,MORAY,Demersal,AL,44E6,5,7,1997,14,50,30,65,57,44.5,3,35.59,57,42.95,3,37.25,32338.82,69251.63,14.83,0.5,57.74,-3.59,57.72,-3.62,57.73,-3.61
C97/057,JUN97,MORAY,Demersal,AM,44E6,6,7,1997,5,30,30,25,57,46.79,3,6.12,57,45.08,3,3.77,34694.73,94379.13,5.5,0.5,57.78,-3.1,57.75,-3.06,57.77,-3.08
C97/058,JUN97,MORAY,Demersal,AJ,44E6,6,7,1997,7,35,30,55,57,50.38,3,14.55,57,48.7,3,16.29,41465.27,82229.12,7.58,0.5,57.84,-3.24,57.81,-3.27,57.83,-3.26
C97/059,JUN97,MORAY,Demersal,AF,45E6,6,7,1997,10,35,30,52,58,1,3,3.53,57,59.16,3,5.97,41097.33,84263.87,10.58,0.5,58.02,-3.06,57.99,-3.1,58,-3.08
C97/060,JUN97,MORAY,Demersal,AI,44E7,6,7,1997,12,35,30,90,57,53.74,2,55.8,57,55.78,2,54.36,44893.11,86007.1,12.58,0.5,57.9,-2.93,57.93,-2.91,57.91,-2.92
C97/061,JUN97,MORAY,Demersal,AK,44E7,6,7,1997,14,15,30,98,57,50.91,2,46.4,57,49.16,2,43.55,49178.1,103012.18,14.25,0.5,57.85,-2.77,57.82,-2.73,57.83,-2.75
C97/116,SEP97,FORTH,Pelagic,,41E8,11,9,1997,10,0,20,78,56,2.53,1,36.64,56,2.56,1,38.08,,,10,0.33,56.04,-1.61,56.04,-1.63,56.04,-1.62
C97/117,SEP97,FORTH,Pelagic,,41E7,13,9,1997,15,45,50,28,56,22.47,2,32.74,56,22.48,2,28.5,,,15.75,0.83,56.37,-2.55,56.37,-2.48,56.37,-2.51
C97/118,SEP97,FORTH,Demersal,A,41E7,14,9,1997,13,23,30,26,56,27.48,2,31.78,56,27.51,2,29.47,26229.15,92307.85,13.38,0.5,56.46,-2.53,56.46,-2.49,56.46,-2.51
C97/119,SEP97,FORTH,Demersal,H,41E7,14,9,1997,15,52,30,51,56,17.45,2,12.1,56,17.76,2,9.39,37483.32,114314.23,15.87,0.5,56.29,-2.2,56.3,-2.16,56.29,-2.18
C97/120,SEP97,FORTH,Demersal,R,41E8,15,9,1997,13,38,30,62,56,2.46,1,58.92,56,2.07,2,0.74,29519.42,104903.61,13.63,0.5,56.04,-1.98,56.03,-2.01,56.04,-2
C97/121,SEP97,FORTH,Demersal,M,41E7,16,9,1997,6,25,30,45,56,7.66,2,32.07,56,7.28,2,29.8,28749.11,89122.23,6.42,0.5,56.13,-2.53,56.12,-2.5,56.12,-2.52
C97/122,SEP97,FORTH,Demersal,I,41E7,16,9,1997,8,13,30,50,56,12.2,2,20.08,56,13.8,2,19.95,36329.45,125750.95,8.22,0.5,56.2,-2.33,56.23,-2.33,56.22,-2.33
C97/123,SEP97,FORTH,Demersal,J,41E7,16,9,1997,10,31,30,40,56,12.5,2,1.42,56,12.32,1,59.02,28677.62,87972.52,10.52,0.5,56.21,-2.02,56.21,-1.98,56.21,-2
C97/124,SEP97,FORTH,Demersal,O,41E8,16,9,1997,12,36,31,49,56,8.35,1,50.73,56,7.05,1,51.65,30766.62,149107.55,12.6,0.52,56.14,-1.85,56.12,-1.86,56.13,-1.85
C97/125,SEP97,FORTH,Demersal,N,41E7,16,9,1997,16,17,31,63,56,7.97,2,9.56,56,6.91,2,10.82,31064.34,103179.09,16.28,0.52,56.13,-2.16,56.12,-2.18,56.12,-2.17
C97/126,SEP97,FORTH,Demersal,S,41E8,17,9,1997,7,21,30,62,56,2.33,1,41.84,56,2.53,1,39.28,33153.81,99650.44,7.35,0.5,56.04,-1.7,56.04,-1.65,56.04,-1.68
C97/127,SEP97,FORTH,Demersal,P,41E8,17,9,1997,9,2,31,62,56,7.23,1,31.76,56,7.61,1,29.5,30278.76,92894.5,9.03,0.52,56.12,-1.53,56.13,-1.49,56.12,-1.51
C97/128,SEP97,FORTH,Demersal,G,41E8,17,9,1997,12,39,30,50,56,15.94,1,32.68,56,16.87,1,31.66,24688.18,79792.44,12.65,0.5,56.27,-1.54,56.28,-1.53,56.27,-1.54
C97/129,SEP97,FORTH,Demersal,F,41E8,17,9,1997,14,35,30,60,56,17.61,1,47.52,56,17.57,1,49.82,29113.68,100400.56,14.58,0.5,56.29,-1.79,56.29,-1.83,56.29,-1.81
C97/130,SEP97,FORTH,Demersal,C,41E8,17,9,1997,16,53,30,52,56,27.37,1,47.2,56,27.5,1,49.49,26699.32,79503.08,16.88,0.5,56.46,-1.79,56.46,-1.82,56.46,-1.81
C97/131,SEP97,FORTH,Demersal,E,41E8,18,9,1997,6,36,30,47,56,22.59,1,57.22,56,22.48,1,59.48,28239.84,82341.09,6.6,0.5,56.38,-1.95,56.37,-1.99,56.38,-1.97
C97/132,SEP97,FORTH,Demersal,B,41E7,18,9,1997,8,24,31,47,56,27.83,2,7.15,56,27.66,2,9.41,28944.94,78675.23,8.4,0.52,56.46,-2.12,56.46,-2.16,56.46,-2.14
C98/005,MAR98,FORTH,Demersal,A,41E7,4,3,1998,8,40,30,30,56,27.59,2,30.52,56,27.63,2,28.04,23728.59,71185.77,8.67,0.5,56.46,-2.51,56.46,-2.47,56.46,-2.49
C98/006,MAR98,FORTH,Demersal,B,41E7,4,3,1998,10,50,30,50,56,27.58,2,9.87,56,27.76,2,7.47,25676.47,92801.49,10.83,0.5,56.46,-2.16,56.46,-2.12,56.46,-2.14
C98/007,MAR98,FORTH,Demersal,C,41E8,4,3,1998,12,55,30,52,56,27.52,1,49.59,56,27.35,1,47.2,25279.54,87268.02,12.92,0.5,56.46,-1.83,56.46,-1.79,56.46,-1.81
C98/008,MAR98,FORTH,Demersal,E,41E8,4,3,1998,15,15,30,50,56,22.5,1,57.81,56,22.41,2,0.42,27828.38,107238.2,15.25,0.5,56.38,-1.96,56.37,-2.01,56.37,-1.99
C98/009,MAR98,FORTH,Demersal,D,41E7,4,3,1998,18,0,30,50,56,21.91,2,21.54,56,21.22,2,23.54,25158.55,88396.4,18,0.5,56.37,-2.36,56.35,-2.39,56.36,-2.38
C98/010,MAR98,FORTH,Demersal,F,41E8,5,3,1998,9,35,30,60,56,17.66,1,49.66,56,17.64,1,47.21,24558.77,98507.62,9.58,0.5,56.29,-1.83,56.29,-1.79,56.29,-1.81
C98/011,MAR98,FORTH,Demersal,G,41E8,5,3,1998,11,35,30,50,56,17.23,1,31.35,56,16.22,1,32.39,22888.6,65686.39,11.58,0.5,56.29,-1.52,56.27,-1.54,56.28,-1.53
C98/012,MAR98,FORTH,Demersal,K,41E8,5,3,1998,13,45,30,55,56,12.81,1,38.82,56,11.95,1,40.51,24246.63,77589.22,13.75,0.5,56.21,-1.65,56.2,-1.68,56.21,-1.66
C98/013,MAR98,FORTH,Demersal,R,41E7,6,3,1998,7,40,30,65,56,2.45,2,2.05,56,2.59,1,59.41,28743.79,86231.38,7.67,0.5,56.04,-2.03,56.04,-1.99,56.04,-2.01
C98/014,MAR98,FORTH,Demersal,S,41E8,6,3,1998,10,5,30,62,56,2.21,1,42.26,56,2.44,1,39.75,27311.83,81935.49,10.08,0.5,56.04,-1.7,56.04,-1.66,56.04,-1.68
C98/015,MAR98,FORTH,Demersal,T,41E8,6,3,1998,12,10,30,58,56,2.56,1,23.27,56,2,1,21.08,25403.25,76209.74,12.17,0.5,56.04,-1.39,56.03,-1.35,56.04,-1.37
C98/016,MAR98,FORTH,Demersal,P,41E8,6,3,1998,13,55,30,64,56,7.55,1,29.28,56,7.09,1,31.62,28163.47,84490.4,13.92,0.5,56.13,-1.49,56.12,-1.53,56.12,-1.51
C98/017,MAR98,FORTH,Demersal,O,41E8,6,3,1998,16,10,30,45,56,8.91,1,51.14,56,7.78,1,51.32,23935.87,71807.6,16.17,0.5,56.15,-1.85,56.13,-1.86,56.14,-1.85
C98/018,MAR98,FORTH,Demersal,M,41E7,7,3,1998,8,45,30,45,56,7.67,2,32.34,56,7.31,2,29.81,30006.55,90019.65,8.75,0.5,56.13,-2.54,56.12,-2.5,56.12,-2.52
C98/019,MAR98,FORTH,Demersal,I,41E7,7,3,1998,10,35,30,55,56,11.34,2,20.57,56,12.6,2,20,27642.16,82926.47,10.58,0.5,56.19,-2.34,56.21,-2.33,56.2,-2.34
C98/020,MAR98,FORTH,Demersal,H,41E7,7,3,1998,12,30,30,52,56,17.33,2,12.12,56,17.63,2,9.54,28812.33,86436.98,12.5,0.5,56.29,-2.2,56.29,-2.16,56.29,-2.18
C98/021,MAR98,FORTH,Demersal,J,41E8,7,3,1998,14,40,30,45,56,12.36,1,57.14,56,12.34,1,59.39,24732.35,74197.05,14.67,0.5,56.21,-1.95,56.21,-1.99,56.21,-1.97
C98/022,MAR98,FORTH,Demersal,N,41E7,7,3,1998,16,25,30,58,56,8.34,2,8.75,56,7.3,2,10.58,28093.29,84279.86,16.42,0.5,56.14,-2.15,56.12,-2.18,56.13,-2.16
C98/024,MAR98,FORTH,Pelagic,,41E7,20,3,1998,13,58,32,57,56,12.54,2,3.18,56,12.5,2,0.75,,,13.97,0.53,56.21,-2.05,56.21,-2.01,56.21,-2.03
C98/025,MAR98,FORTH,Pelagic,,41E8,21,3,1998,12,51,25,57,56,22.53,1,58.61,56,22.5,1,56.74,,,12.85,0.42,56.38,-1.98,56.38,-1.95,56.38,-1.96
C98/026,MAR98,FORTH,Pelagic,,41E7,21,3,1998,16,50,30,35,56,27.34,2,23.8,56,27.34,2,26.58,,,16.83,0.5,56.46,-2.4,56.46,-2.44,56.46,-2.42
C98/079,JUN98,FORTH,Pelagic,,41E7,13,6,1998,7,45,20,61,56,2.53,2,4.34,56,2.54,2,5.44,,,7.75,0.33,56.04,-2.07,56.04,-2.09,56.04,-2.08
C98/080,JUN98,FORTH,Pelagic,,41E8,13,6,1998,11,20,25,55,56,3.23,1,21.23,56,3.06,1,23.06,,,11.33,0.42,56.05,-1.35,56.05,-1.38,56.05,-1.37
C98/081,JUN98,FORTH,Pelagic,,41E7,14,6,1998,8,50,35,60,56,7.5,2,47.4,56,7.48,2,43.71,,,8.83,0.58,56.12,-2.79,56.12,-2.73,56.12,-2.76
C98/082,JUN98,FORTH,Demersal,M,41E7,18,6,1998,5,40,30,50,56,7.88,2,33.45,56,7.49,2,31.17,37771.14,118857.59,5.67,0.5,56.13,-2.56,56.12,-2.52,56.13,-2.54
C98/083,JUN98,FORTH,Demersal,I,41E7,18,6,1998,7,40,30,60,56,11.27,2,20.82,56,12.79,2,19.93,32974.59,92590.25,7.67,0.5,56.19,-2.35,56.21,-2.33,56.2,-2.34
