Parameter,value,LowerBound,UpperBound
aL,3.0434,2,50
aS,0.5340152,0,4.00E+01
tau ,3.988799,1,4.00E+00
OVTHRESH1,25.81315,15,4.00E+01
OVTHRESH2,0.1067149,0.04,2.00E-01
sigma1,18.98968,0,1.00E+07
sigma2,0.6978547,0,2.00E+00
rho_0,0.9303551,0,5.00E+00
rho_w,1127.035,0,1.00E+04
S_1,86.91716,-200,3.00E+02
S_2,18.04641,0,2.00E+02
OVthresh3,0.2508339,0,1.00E+00
G_1,-4.846421,-20,2.00E+01
G_2,16.60141,0,2.00E+01
MULTIPLIER1,7.457477,0.1,2.00E+01
MULTIPLIER2,2.853063,0.1,1.00E+01
MULTIPLIER3,1.646426,0.1,1.00E+01
MULTIPLIER4,0.2566675,0.1,1.00E+01
MULTIPLIER5,2.090412,0.1,1.00E+01
MULTIPLIER6,2.156116,0.1,1.00E+01
mu1,0.9957172,0.988,1.00E+00
mu2,0.9972748,0.988,1.00E+00
mu3,0.9963119,0.988,1.00E+00
mu4   ,0.9965729,0.988,1.00E+00
mu5,0.9984253,0.988,1.00E+00
mu6,0.9859487,0.982,1.00E+00
B,0.1468888,0,2.00E+01
Eb,4.352669,3,5.60E+00